,id,name,amenity,geometry
193,2815883793,Bonafide,cafe,POINT (-58.4542181 -34.5652233)
194,2824810082,Los Corrales,cafe,POINT (-58.4047788 -34.6409065)
195,2828217449,Café Dalí,cafe,POINT (-58.3797667 -34.6090745)
196,2829116973,Halina,cafe,POINT (-58.4125841 -34.5839022)
197,2836336906,Cafe Tabac,cafe,POINT (-58.4045784 -34.580932)
198,2840991015,Zas!,cafe,POINT (-58.4815887 -34.630295)
199,2873898915,The Coffee Store,cafe,POINT (-58.4272879 -34.6150944)
200,2874895260,Bonafide,cafe,POINT (-58.4676909 -34.5499338)
201,2876275457,Gratto,cafe,POINT (-58.419366 -34.6035185)
202,2906569036,Starbucks,cafe,POINT (-58.3624959 -34.6106599)
203,2920151701,The Coffee Store,cafe,POINT (-58.473786 -34.5626031)
204,2924015901,Brioche Dorée,cafe,POINT (-58.3752375 -34.6073044)
205,2924015902,Tobas Café,cafe,POINT (-58.3753024 -34.6072749)
206,2924016001,Coffee Haus,cafe,POINT (-58.375357 -34.6072404)
207,2928700601,Havanna,cafe,POINT (-58.4217556 -34.5813483)
208,2934332602,N/A,cafe,POINT (-58.4537479 -34.5639334)
209,2940519201,Café Martínez,cafe,POINT (-58.3931962 -34.5990537)
210,2948320041,Petit Colón,cafe,POINT (-58.3836939 -34.6024591)
211,2948320437,La biblioteca cafe,cafe,POINT (-58.383604 -34.5967591)
212,2948320439,N/A,cafe,POINT (-58.3854275 -34.6014824)
213,2956317871,Havanna,cafe,POINT (-58.3743342 -34.5945829)
214,2969577068,Café de Quartier,cafe,POINT (-58.405255 -34.5917636)
215,2969577079,Go in!,cafe,POINT (-58.4037252 -34.5905741)
216,2971999539,Pain Du Jour,cafe,POINT (-58.3845772 -34.6131854)
217,2975678709,La Torre de Retiro,cafe,POINT (-58.3759739 -34.5926752)
218,2979426833,Bracia,cafe,POINT (-58.4521366 -34.5579826)
219,2998119667,Cafe Bar,cafe,POINT (-58.368476 -34.6219097)
220,2998119683,Alma,cafe,POINT (-58.3743953 -34.5909435)
221,3003582623,Green Eat,cafe,POINT (-58.4533501 -34.5653126)
222,3003600033,Orzo,cafe,POINT (-58.4580061 -34.5688026)
223,3013495944,Ameno,cafe,POINT (-58.4555921 -34.5667783)
224,3039995178,Establecimiento General de Café,cafe,POINT (-58.3862009 -34.6015251)
225,3054593533,Café Martínez,cafe,POINT (-58.405072 -34.597917)
226,3054645550,La Cigüeña,cafe,POINT (-58.400139 -34.596706)
227,3054679742,Tostado,cafe,POINT (-58.4500035 -34.5536931)
228,3059902733,Guber,cafe,POINT (-58.3985508 -34.5886584)
229,3060432533,Señor Café,cafe,POINT (-58.4158273 -34.5965754)
230,3060432633,Dojo,cafe,POINT (-58.4160133 -34.5965633)
231,3061558889,Corto Maltés,cafe,POINT (-58.4149295 -34.5957262)
232,3062527033,Casa,cafe,POINT (-58.4128765 -34.5937454)
233,3067226541,La Nueva Ola,cafe,POINT (-58.4004449 -34.5968739)
234,3071131534,La Tolva,cafe,POINT (-58.4102668 -34.5908542)
235,3080522720,LAB New American Cuisine & Coffee Shop,cafe,POINT (-58.436885 -34.586002)
236,3091645169,Starbucks,cafe,POINT (-58.4006001 -34.5997149)
237,3091657765,Havanna,cafe,POINT (-58.4007909 -34.5996913)
238,3101216711,Starbucks,cafe,POINT (-58.3748117 -34.6125579)
239,3102518331,Una Pausa,cafe,POINT (-58.4019061 -34.5977137)
240,3106307529,Isabella,cafe,POINT (-58.4082844 -34.5867653)
241,3111491230,Puerto Café,cafe,POINT (-58.4215405 -34.5973421)
242,3116612203,Olleros,cafe,POINT (-58.4427262 -34.5693313)
243,3124542629,La Fonte D'Oro,cafe,POINT (-58.415764 -34.5889609)
244,3124920368,All Saints Café,cafe,POINT (-58.4593254 -34.5608459)
245,3132292529,Musetta,cafe,POINT (-58.4150827 -34.5996355)
246,3132406810,Café Altares,cafe,POINT (-58.4707943 -34.5521612)
247,3166539561,Cafiolo,cafe,POINT (-58.377855 -34.609484)
248,3167945387,Tostado,cafe,POINT (-58.380066 -34.5950926)
249,3173776103,Muntama,cafe,POINT (-58.4576636 -34.5624421)
250,3173864687,Gros Café,cafe,POINT (-58.381355 -34.5940492)
251,3173864885,Divine Budin,cafe,POINT (-58.3805435 -34.5940079)
252,3175868061,Rondas,cafe,POINT (-58.3732237 -34.6160193)
253,3179550393,Starbucks,cafe,POINT (-58.3660725 -34.610741)
254,3181391961,Cayena,cafe,POINT (-58.3804617 -34.5966947)
255,3181392364,Arkakaó,cafe,POINT (-58.386776 -34.5910372)
256,3182216504,Havanna,cafe,POINT (-58.4437081 -34.5641146)
257,3183375061,Confitera Saint Moritz,cafe,POINT (-58.3784499 -34.5976922)
258,3183377462,Cafe Lumiere,cafe,POINT (-58.3843004 -34.5974447)
259,3183660261,Café Martínez,cafe,POINT (-58.3804456 -34.5954334)
260,3184669861,Ditali,cafe,POINT (-58.3769939 -34.5975317)
261,3188334965,Starbucks,cafe,POINT (-58.4366932 -34.5677712)
262,3194505167,Virgilio,cafe,POINT (-58.4374718 -34.5976796)
263,3205426273,Distal Cafe,cafe,POINT (-58.392621 -34.5890031)
264,3205426298,Ninina Malba,cafe,POINT (-58.4036099 -34.5769939)
265,3238467081,Tienda de Café,cafe,POINT (-58.4416657 -34.6267412)
266,3238661005,Café Martínez,cafe,POINT (-58.4461246 -34.626079)
267,3243846432,Havanna,cafe,POINT (-58.4263081 -34.57904)
268,3243846439,Le Pain Quotidien,cafe,POINT (-58.4284792 -34.5809)
269,3243910761,The Coffe Store,cafe,POINT (-58.4387682 -34.5638718)
270,3257422561,La Barrera 1980,cafe,POINT (-58.4325868 -34.5807214)
271,3259168331,Bonafide,cafe,POINT (-58.4277214 -34.6060548)
272,3259168332,Café Martínez,cafe,POINT (-58.4254724 -34.6058211)
273,3259168333,Havanna,cafe,POINT (-58.4262542 -34.6057988)
274,3259168335,Vademecum Café,cafe,POINT (-58.4253399 -34.6058242)
275,3273659161,El Gato Negro,cafe,POINT (-58.3903518 -34.6041451)
276,3273682964,Starbucks,cafe,POINT (-58.3915493 -34.5859655)
